,Best Musical,Best Revival,Leading Actor,Leading Actress,Featured Actor,Featured Actress,Best Direction,Best Book,Best Score,Best Producer,Scenic Design,Costume Design,Lighting Design,Sound Design,Choreography,Orchestrations,Conductor,Stage Technician
1989,Jerome Robbins' Broadway,N/A,Jason Alexander - Jerome Robbins' Broadway,Ruth Brown - Black and Blue,Scott Wise - Jerome Robbins' Broadway,Debbie Shapiro - Jerome Robbins' Broadway,Jerome Robbins - Jerome Robbins' Broadway,N/A,N/A,N/A,N/A,Claudio Segovia & Héctor Orezzoli - Black and Blue,Jennifer Tipton - Jerome Robbins' Broadway,N/A,Cholly Atkins & Henry LeTang & Frankie Manning & Hayard Nicholas - Jerome Robbins' Broadway,N/A,N/A,N/A
1988,The Phantom of the Opera,Anything Goes,Michael Crawford - The Phantom of the Opera,Joanna Gleason - Into the Woods,Bill McCutcheon - Anything Goes,Judy Kaye - The Phantom of the Opera,Harold Prince - The Phantom of the Opera,James Lapine - Into the Woods,Stephen Sondheim - Into the Woods,N/A,Maria Björnson - The Phantom of the Opera,Maria Björnson - The Phantom of the Opera,Andrew Bridge - The Phantom of the Opera,N/A,Michael Smuin - Anything Goes,N/A,N/A,N/A
1987,Les Misérables,N/A,Robert Lindsay - Me and My Girl,Maryann Plunkett - Me and My Girl,Michael McGuire - Les Misérables,Frances Ruffelle - Les Misérables,Trevor Nunn & John Caird - Les Misérables,Alain Boublil & Claude-Michel Schönberg - Les Misérables,Alain Boublil & Claude-Michel Schönberg & Herbert Kretzmer - Les Misérables,N/A,John Napier - Les Misérables,John Napier - Starlight Express,David Hersey - Les Misérables,N/A,Gillian Gregory - Me and My Girl,N/A,N/A,N/A
1986,The Mystery of Edwin Drood,Sweet Charity,George Rose - The Mystery of Edwin Drood,Bernadette Peters - Song and Dance,Michael Rupert - Sweet Charity,Bebe Neuwirth - Sweet Charity,Wilford Leach - The Mystery of Edwin Drood,Rupert Holmes - The Mystery of Edwin Drood,Rupert Holmes - The Mystery of Edwin Drood,N/A,N/A,Patricia Zipprodt - Sweet Charity,N/A,N/A,Bob Fosse - Big Deal,N/A,N/A,N/A
1985,Big River,N/A,N/A,N/A,Ron Richardson - Big River,Leilani Jones - Grind,Des McAnuff - Big River,William Hauptman - Big River,Roger Miller - Big River,N/A,Heidi Landesman - Big River,Florence Klotz - Grind,Richard Riddell - Big River,N/A,N/A,N/A,N/A,N/A
1984,La Cage aux Folles,N/A,George Hearn - La Cage aux Folles,Chita Rivera - The Rink,Hinton Battle - The Tap Dance Kid,Lila Kedrova - Zorba,Arthur Laurents - La Cage aux Folles,Harvey Fierstein - La Cage aux Folles,Jerry Herman - La Cage aux Folles,N/A,Tony Straiges - Sunday in the Park with George,Theoni V Aldrege - La Cage aux Folles,Richard Nelson - Sunday in the Park with George,N/A,Danny Daniels - La Cage aux Folles,N/A,N/A,N/A
1983,Cats,On Your Toes,Tommy Tune - My One and Only,Natalia Makarova - On Your Toes,Charles Coles - My One and Only,Betty Buckley - Cats,Trevor Nunn - Cats,T S Elliot - Cats,T S Elliot & Andrew Lloyd Webber - Cats,N/A,N/A,John Napier - Cats,David Hersey - Cats,N/A,Tommy Tune & Thommie Walsh - My One and Only,N/A,N/A,N/A
1982,Nine,N/A,Ben Harney - Dreamgirls,Jennifer Holliday - Dreamgirls,Cleavent Derricks - Dreamgirls,Liliane Montevecchi - Nine,Tommy Tune - Nine,Tom Eyen - Dreamgirls,Maury Yeston - Nine,N/A,N/A,William Ivey Long - Nine,Tharon Musser - Dreamgirls,N/A,Michael Bennett & Michael Peters - Dreamgirls,N/A,N/A,N/A
1981,42nd Street,The Pirates of Penzance,Kevin Kline - The Pirates of Penzance,Lauren Bacall - Woman of the Year,Hinton Battle - Sophisticated Ladies,Marilyn Cooper - Woman of the Year,Wilford Leach - The Pirates of Penzance,Peter Stone - Woman of the Year,Fred Ebb & John Kander - Woman of the Year,N/A,N/A,Willa Kim - Sophisticated Ladies,N/A,N/A,Gower Champion - 42nd Street,N/A,N/A,N/A
1980,Evita,N/A,Jim Dale - Barnum,Patti LuPone - Evita,Mandy Patinkin - Evita,Priscilla Lopez - A Day in Hollywood / A Night in Ukraine,Harold Prince - Evita,Tim Rice - Evita,Tim Rice & Andrew Lloyd Webber - Evita,N/A,David Mitchell - Barnum,Theoni V Aldrege - Barnum,N/A,N/A,Tommy Tune & Thommie Walsh - A Day in Hollywood & A Night in Ukraine,N/A,N/A,N/A
1979,Sweeney Todd,N/A,Len Cariou - Sweeney Todd,Angela Lansbury - Sweeney Todd,Henderson Forscythe - The Best Little Whorehouse in Texas,Carlin Glynn - The Best Little Whorehouse in Texas,Harold Prince - Sweeney Todd,Hugh Wheeler - Sweeney Todd,Stephen Sondheim - Sweeney Todd,N/A,Eugene Lee - Sweeney Todd,Franne Lee - Sweeney Todd,N/A,N/A,Michael Bennett - Ballroom,N/A,N/A,N/A
1978,Ain't Misbehavin',N/A,John Cullum - On the Twentieth Century,Liza Minnelli - The Act,Kevin Kline - On the Twentieth Century,Nell Carter - Ain't Misbehavin',Richard Maltby Jr - Ain't Misbehavin',Betty Comden & Adolph Green - On the Twentieth Century,Betty Comden & Adolph Green & Cy Coleman - On the Twentieth Century,N/A,Robin Wagner - On the Twentieth Century,N/A,Jules Fisher - Dancin',N/A,Bob Fosse - Dancin',N/A,N/A,N/A
1977,Annie,Porgy and Bess,Barry Bostwick - The Robber Bridegroom,Dorothy Loudon - Annie,Lenny Baker - I Love my Wife,Delores Hall - Your Arms are Too Short to Box with God,Gene Saks - I Love my Wife,Thomas Meehan - Annie,Martin Charnin & Charles Strouse -  Annie,N/A,David Mitchell - Annie,Theoni V Aldredge - Annie,N/A,N/A,Peter Gennaro - Annie,N/A,N/A,N/A
1976,A Chorus Line,N/A,George Rose - My Fair Lady,Donna McKechnie - A Chorus Line,Sammy Williams - A Chorus Line,Kelly Bishop - A Chorus Line,Michael Bennett - A Chorus Line,James Kirkwood Jr & Nicholas Dante - A Chorus Line,Marvin Hamlisch & Edward Kleban - A Chorus Line,N/A,Boris Aronson - Pacific Overtures,Florence Klotz - Pacific Overtures,Tharon Musser - A Chorus Line,N/A,Michael Bennett - A Chorus Line,N/A,N/A,N/A
1975,The Wiz,N/A,John Cullum - Shenandoah,Angela Lansbury - Gypsy,Ted Ross - The Wiz,Dee Dee Bridgewater - The Wiz,Geoffery Holder - The Wiz,James Lee Barret & Peter Udell & Phillip Rose - Shenandoah,Charlie Smalls - The Wiz,N/A,N/A,Geoffery Holder - The Wiz,N/A,N/A,George Faison - The Wiz,N/A,N/A,N/A
1974,Raisin,N/A,Christopher Plummer - Cyrano,Virginia Capers - Raisin,Tommy Tune - Seesaw,Janie Sell - Over Here!,Harold Prince - Candide,Hugh Wheeler - Candide,Frederick Loewe & Alan Jay Lerner - GiGi,N/A,Franne Lee & Eugene Lee - Candide,Franne Lee - Candide,N/A,N/A,Michael Bennett - Seesaw,N/A,N/A,N/A
1973,A Little Night Music,N/A,Ben Vereen - Pippin,Glynis Johns - A Little Night Music,George S Irving - Irene,Patricia Elliott - A Little Night Music,Bob Fosse - Pippin',Hugh Wheeler - A Little Night Music,Stephen Sondheim - A Little Night Music,N/A,Tony Walton - Pippin,Florence Klotz - A Little Night Music,Jules Fisher - Pippin,N/A,Bob Fosse - Pippin,N/A,N/A,N/A
1972,Two Gentleman of Verona,N/A,Phil Silvers - A Funny Thing Happened on the Way to the Forum,Alexis Smith - Follies,Larry Blyden - A Funny Thing Happened on the Way to the Forum,Linda Hopkins - Inner City,Michael Bennett - Follies,Mel Shapiro & John Guare - Two Gentleman of Verona,Stephen Sondheim - Follies,N/A,Boris Aronson - Follies,Florence Klotz - Follies,Tharon Musser - Follies,N/A,Michael Bennett - Follies,N/A,N/A,N/A
1971,Company,N/A,Hal Linden - The Rothschilds,"Hellen Gallagher - No, No, Nanette",Keene Curtis - The Rothschilds,"Patsy Kelly - No, No, Nanette",Harold Prince - Company,George Furth - Company,Stephen Sondheim - Company,N/A,Boris Aronson - Company,"Raoul Pene du Bois - No, No, Nanette",N/A,N/A,"Donald Saddler - No, No, Nanette",N/A,N/A,N/A
1970,Applause,N/A,Cleavon Little - Purlie,Lauren Bacall - Applause,René Auberjonois - Coco,Melba Moore - Purlie,Ron Field - Applause,N/A,N/A,N/A,N/A,Cecil Beaton - Coco,N/A,N/A,Ron Field - Applause,N/A,N/A,N/A
